num_of_innings,total_runs,opponent_runs,game_id,game_date,game_location,game_attendance,is_top,team,season,opponent_innings_played,opponent,full_game_runs,opponent_full_game_runs,average_fgr,average_fgr_allowed,win_percentage,is_sec_matchup,sec_win_percentage,sec_average_fgr,sec_average_fgr_allowed,lag_average_fgr,lag_average_fgr_allowed,lag_win_percentage,lag_sec_win_percentage,lag_sec_average_fgr,lag_sec_average_fgr_allowed,game_count,is_power_5,most_recent_era,days_since_era_update,ly_era,conference
7,1,7,893762,2012-02-09,"Los Angeles, Calif.",306,1,Kentucky,2012,6,UCLA,1,8.166666666666666,1,8.17,0,1,0,1,8.17,0,0,0,0,0,0,1,1,2.57,224,2.57,Pac-12
6,7,0,893794,2012-02-09,"Tempe, Ariz.",384,0,Tennessee,2012,7,UC Santa Barbara,8.166666666666666,0,8.17,0,1,1,1,8.17,0,0,0,0,0,0,0,1,0,3.48,224,3.48,Big West
7,7,2,893767,2012-02-09,"Mobile, Ala.",422,1,Mississippi St.,2012,7,South Alabama,7,2,7,2,1,1,1,7,2,0,0,0,0,0,0,1,0,2.7,224,2.7,Sun Belt
6,6,0,893760,2012-02-09,"Auburn, Ala.",252,0,Auburn,2012,7,Alabama St.,7,0,7,0,1,1,1,7,0,0,0,0,0,0,0,1,0,9.08,224,9.08,SWAC
5,8,0,894036,2012-02-10,"Tampa, Fla.",870,1,Florida,2012,5,LIU,11.2,0,11.2,0,1,1,1,11.2,0,0,0,0,0,0,0,1,0,4.08,225,4.08,NEC
6,6,3,894032,2012-02-10,"Tallahassee, Fla.",0,0,Ole Miss,2012,7,Tennessee Tech,7,3,7,3,1,1,1,7,3,0,0,0,0,0,0,1,0,3.15,225,3.15,OVC
7,6,10,893817,2012-02-10,"Tallahassee, Fla.",379,1,Ole Miss,2012,6,Florida St.,6,11.666666666666666,6.5,7.33,0.5,1,0.5,6.5,7.33,7,3,1,1,7,3,2,1,2.66,225,2.66,ACC
7,2,4,893830,2012-02-10,"Columbia, SC",482,1,South Carolina,2012,6,Tennessee St.,2,4.666666666666667,2,4.67,0,1,0,2,4.67,0,0,0,0,0,0,1,0,6.85,225,6.85,OVC
6,12,4,893836,2012-02-10,Auburn,155,0,Auburn,2012,6,Wright St.,14,4.666666666666667,10.5,2.33,1,1,1,10.5,2.33,7,0,1,1,7,0,2,0,3.4,225,3.4,Horizon
5,16,3,893865,2012-02-10,"Waco, Texas",893,1,Arkansas,2012,5,Belmont,22.4,4.2,22.4,4.2,1,1,1,22.4,4.2,0,0,0,0,0,0,1,0,5.01,225,5.01,ASUN
